restaurant,review,rating
Coffee Break,Best coffee in the entire Majitar area. The cappuccino was rich and the ambiance is so relaxing.,5
Coffee Break,Loved the peaceful environment. Perfect place to sit and work. Wifi could be better though.,4
Coffee Break,Nice coffee and calm surroundings. The snacks menu is limited but what they have is good.,4
Coffee Break,Overpriced for what you get. A simple coffee costs way too much compared to other places here.,2
Coffee Break,Average experience. The coffee was okay but the staff were not very friendly.,3
Coffee Break,Wonderful little cafe. The cold coffee is amazing and the view outside is beautiful.,5
Coffee Break,Service was extremely slow. Waited 25 minutes for a simple coffee. Not acceptable.,1
Coffee Break,Great place to relax. The momo here are also surprisingly good alongside the coffee.,4
Coffee Break,Decent coffee. Nothing extraordinary but a reliable option in Majitar.,3
Coffee Break,The interior is very cozy. Staff are friendly and the menu has good variety for a small cafe.,4
Coffee Break,Love this place! Come here every time I visit Majitar. The filter coffee is fantastic.,5
Coffee Break,Felt cheated by the portion sizes. Very small serving for the price charged.,2
Coffee Break,Had their cheese burst pizza and it was absolutely divine. The cheese pull was real and the crust was perfectly crispy. Best pizza in Majitar without doubt.,5
Coffee Break,Ordered the cheesy pasta and the chocolate lava cake for dessert. Both were outstanding. This place is a hidden gem for dessert lovers in Sikkim.,5
Coffee Break,Finally a cafe in Majitar that does proper desserts. The cheesecake was creamy and not overly sweet. Paired beautifully with their filter coffee.,5
Coffee Break,"The four cheese pizza here is something else. Gooey, rich and filling. Came here specifically after reading about it online and it did not disappoint.",5
Coffee Break,Tried the brownie with ice cream and the loaded cheesy fries. Both were excellent. This cafe understands comfort food very well.,4
Coffee Break,Great dessert menu compared to other places in Majitar. The tiramisu and the double chocolate mousse are must tries. Would love more pizza variety though.,4
Coffee Break,The pizza was decent but a bit too salty for my taste. The desserts however were spot on. The caramel custard was silky smooth.,3
Coffee Break,Not impressed with the cheesy garlic bread. It was soggy and the cheese was not properly melted. Expected much better from a cafe that promotes it so much.,2
Coffee Break,Came here craving something cheesy and sweet after a long drive. The cheese pizza and walnut brownie hit exactly the right spot. Highly recommended for such cravings.,5
Coffee Break,"The mac and cheese bowl is a generous portion and absolutely delicious. Rich, creamy and very cheesy. Perfect rainy day comfort food.",5
Grill and Chill Majhitar,Best grilled chicken I have had in Sikkim. The BBQ platter is absolutely worth it.,5
Grill and Chill Majhitar,Very tasty grilled food. The BBQ sauce is homemade and flavourful. Must visit.,5
Grill and Chill Majhitar,Good food and nice atmosphere. The grilled fish was cooked perfectly. Will come again.,4
Grill and Chill Majhitar,Food quality has gone down recently. The grilled items were dry and overcooked last time.,2
Grill and Chill Majhitar,Decent place for a group dinner. Portion sizes are good and the grill menu is extensive.,4
Grill and Chill Majhitar,Service was rude and inattentive. Had to call the waiter multiple times. Food was okay.,2
Grill and Chill Majhitar,One of the better restaurants in the area. The BBQ pork ribs are amazing.,5
Grill and Chill Majhitar,Average experience overall. Nothing special but the grilled paneer was decent.,3
Grill and Chill Majhitar,Great ambiance for evenings. The outdoor seating area near the grill is a nice touch.,4
Grill and Chill Majhitar,Food came cold even though we could see it on the grill station. Very disappointing.,1
